employer,job_title,closing_date,publishing_date,job_description,city,country,region,job_description_upper,job_title_cleaned,job_title_tokenized,job_title_lemmatized,job_description_cleaned,job_description_tokenized,job_description_lemmatized
United Nations Development Programme,Project Biomedical Engineer ,13.04.2023,04.01.2023,"Bachelor’s degree in Biomedical Engineering or equivalent qualification, relevant master’s degree is an added advantage Special training or certification in medical equipment used in C19RM, Intensive care, HIV and TB, up to a certificate level is an advantage, a minimum of five years progressive work experience in the health settings in reputable public or private organizations in Sudan, at least three years working experience in the public health sector in Sudan at national or state level is a requirement, experience traveling to remote states, localities and villages of Sudan is an absolute advantage, candidates with higher and solid working experience in Sudan’s public health sector, especially at Federal NMSF, State MSF or large public urban and rural hospitals shall be given top preference Fluency in English is required ",Khartoum,Sudan,Africa,5,project biomedical engineer ,"['project', 'biomedical', 'engineer']",project biomedical engineer,bachelor s degree in biomedical engineering or equivalent qualification  relevant master s degree is an added advantage special training or certification in medical equipment used in c  rm  intensive care  hiv and tb  up to a certificate level is an advantage  a minimum of five years progressive work experience in the health settings in reputable public or private organizations in sudan  at least three years working experience in the public health sector in sudan at national or state level is a requirement  experience traveling to remote states  localities and villages of sudan is an absolute advantage  candidates with higher and solid working experience in sudan s public health sector  especially at federal nmsf  state msf or large public urban and rural hospitals shall be given top preference fluency in english is required ,"['bachelor', 's', 'degree', 'in', 'biomedical', 'engineering', 'or', 'equivalent', 'qualification', 'relevant', 'master', 's', 'degree', 'is', 'an', 'added', 'advantage', 'special', 'training', 'or', 'certification', 'in', 'medical', 'equipment', 'used', 'in', 'c', 'rm', 'intensive', 'care', 'hiv', 'and', 'tb', 'up', 'to', 'a', 'certificate', 'level', 'is', 'an', 'advantage', 'a', 'minimum', 'of', 'five', 'years', 'progressive', 'work', 'experience', 'in', 'the', 'health', 'settings', 'in', 'reputable', 'public', 'or', 'private', 'organizations', 'in', 'sudan', 'at', 'least', 'three', 'years', 'working', 'experience', 'in', 'the', 'public', 'health', 'sector', 'in', 'sudan', 'at', 'national', 'or', 'state', 'level', 'is', 'a', 'requirement', 'experience', 'traveling', 'to', 'remote', 'states', 'localities', 'and', 'villages', 'of', 'sudan', 'is', 'an', 'absolute', 'advantage', 'candidates', 'with', 'higher', 'and', 'solid', 'working', 'experience', 'in', 'sudan', 's', 'public', 'health', 'sector', 'especially', 'at', 'federal', 'nmsf', 'state', 'msf', 'or', 'large', 'public', 'urban', 'and', 'rural', 'hospitals', 'shall', 'be', 'given', 'top', 'preference', 'fluency', 'in', 'english', 'is', 'required']",bachelor degree biomedical engineering equivalent master degree added advantage special training certification medical equipment used c rm intensive care hiv tb certificate level advantage minimum five year progressive health setting reputable public private organization sudan least three year working public health sector sudan national state level requirement traveling remote state locality village sudan absolute advantage candidate higher solid working sudan public health sector especially federal nmsf state msf large public urban rural hospital shall given top preference fluency english
The World Bank,Senior Environmental Specialist/Engineer ,04.04.2023,17.03.2023,"Advanced degree (PhD or Masters) in environmental engineering, civil engineering, environmental science, natural resource management, sustainable landscape management, marine and coastal zone management, fisheries, environmental policy, environmental or civil engineering from a recognized university Working on high-risk infrastructure projects, solid experience in working in FCV settings is a plus, minimum of eight years of professional experience in the environmental sector, including solid experience in occupational, health and safety, risk assessment, due diligence, environmental site assessment, and compliance audits, knowledge of international standards and codes of practices in the environment sector, including World Bank Group Environmental and Social Standards (ESSs) Fluency in English is required ",Rabat,Morocco,Africa,1,senior environmental specialist engineer ,"['senior', 'environmental', 'specialist', 'engineer']",senior environmental specialist engineer,advanced degree  phd or masters  in environmental engineering  civil engineering  environmental science  natural resource management  sustainable landscape management  marine and coastal zone management  fisheries  environmental policy  environmental or civil engineering from a recognized university working on high risk infrastructure projects  solid experience in working in fcv settings is a plus  minimum of eight years of professional experience in the environmental sector  including solid experience in occupational  health and safety  risk assessment  due diligence  environmental site assessment  and compliance audits  knowledge of international standards and codes of practices in the environment sector  including world bank group environmental and social standards  esss  fluency in english is required ,"['advanced', 'degree', 'phd', 'or', 'masters', 'in', 'environmental', 'engineering', 'civil', 'engineering', 'environmental', 'science', 'natural', 'resource', 'management', 'sustainable', 'landscape', 'management', 'marine', 'and', 'coastal', 'zone', 'management', 'fisheries', 'environmental', 'policy', 'environmental', 'or', 'civil', 'engineering', 'from', 'a', 'recognized', 'university', 'working', 'on', 'high', 'risk', 'infrastructure', 'projects', 'solid', 'experience', 'in', 'working', 'in', 'fcv', 'settings', 'is', 'a', 'plus', 'minimum', 'of', 'eight', 'years', 'of', 'professional', 'experience', 'in', 'the', 'environmental', 'sector', 'including', 'solid', 'experience', 'in', 'occupational', 'health', 'and', 'safety', 'risk', 'assessment', 'due', 'diligence', 'environmental', 'site', 'assessment', 'and', 'compliance', 'audits', 'knowledge', 'of', 'international', 'standards', 'and', 'codes', 'of', 'practices', 'in', 'the', 'environment', 'sector', 'including', 'world', 'bank', 'group', 'environmental', 'and', 'social', 'standards', 'esss', 'fluency', 'in', 'english', 'is', 'required']",advanced degree phd master environmental engineering civil engineering environmental science natural resource management sustainable landscape management marine coastal zone management fishery environmental policy environmental civil engineering recognized university working high risk infrastructure project solid working fcv setting plus minimum eight year professional environmental sector including solid occupational health safety risk assessment due diligence environmental site assessment compliance audit international standard code practice environment sector including world bank group environmental social standard es fluency english
World Health Organization,Senior Assistant to Director ,30.01.2023,13.01.2023,"Completion of secondary school education or equivalent commercial school, Higher education is an advantage A minimum of eight years of experience in secretarial or administrative positions, incumbent must have the ability to exercise discretion in judging the importance, urgency and confidential nature of matters/problems, and, tact in dealing with persons of all nationalities, several years of experience in a more senior secretarial/administrative position in WHO or other UN organization is desirable, relevant experience of WHO administrative rules, regulations, procedures, and practices, and of its structure is highly desirable, experience in Oracle-based or other ERP systems an asset, strong organization and offices skills, as well as skills in notetaking and minute-writing Expert knowledge of English ",Jamnagar,India,Asia,5,senior assistant to director ,"['senior', 'assistant', 'to', 'director']",senior assistant director,completion of secondary school education or equivalent commercial school  higher education is an advantage a minimum of eight years of experience in secretarial or administrative positions  incumbent must have the ability to exercise discretion in judging the importance  urgency and confidential nature of matters problems  and  tact in dealing with persons of all nationalities  several years of experience in a more senior secretarial administrative position in who or other un organization is desirable  relevant experience of who administrative rules  regulations  procedures  and practices  and of its structure is highly desirable  experience in oracle based or other erp systems an asset  strong organization and offices skills  as well as skills in notetaking and minute writing expert knowledge of english ,"['completion', 'of', 'secondary', 'school', 'education', 'or', 'equivalent', 'commercial', 'school', 'higher', 'education', 'is', 'an', 'advantage', 'a', 'minimum', 'of', 'eight', 'years', 'of', 'experience', 'in', 'secretarial', 'or', 'administrative', 'positions', 'incumbent', 'must', 'have', 'the', 'ability', 'to', 'exercise', 'discretion', 'in', 'judging', 'the', 'importance', 'urgency', 'and', 'confidential', 'nature', 'of', 'matters', 'problems', 'and', 'tact', 'in', 'dealing', 'with', 'persons', 'of', 'all', 'nationalities', 'several', 'years', 'of', 'experience', 'in', 'a', 'more', 'senior', 'secretarial', 'administrative', 'position', 'in', 'who', 'or', 'other', 'un', 'organization', 'is', 'desirable', 'relevant', 'experience', 'of', 'who', 'administrative', 'rules', 'regulations', 'procedures', 'and', 'practices', 'and', 'of', 'its', 'structure', 'is', 'highly', 'desirable', 'experience', 'in', 'oracle', 'based', 'or', 'other', 'erp', 'systems', 'an', 'asset', 'strong', 'organization', 'and', 'offices', 'skills', 'as', 'well', 'as', 'skills', 'in', 'notetaking', 'and', 'minute', 'writing', 'expert', 'knowledge', 'of', 'english']",completion secondary school education equivalent commercial school higher education advantage minimum eight year secretarial administrative position incumbent must exercise discretion judging importance urgency confidential nature matter problem tact dealing person nationality several year senior secretarial administrative un organization desirable administrative rule regulation procedure practice structure highly desirable oracle based erp system asset strong organization office skill well skill notetaking minute writing expert english
United Nations Development Programme,Communications Analyst ,09.03.2023,03.07.2023,"Master’s degree in Journalism, Communication, International Relations, or any other relevant area Two years of relevant experience, proficiency in the use of content management systems, HTML coding, photo/video editing tools and other web publishing and designing tools, good knowledge of internet communications, marketing, and outreach activities, experience in volunteer programmes and/or in a development context involving volunteers is highly desirable, ability to respond timely and appropriately with a sense of urgency, provide consistent solutions, and deliver timely and quality results and/or solutions to fulfil and understand the real customers‘ needs, provide inputs to the development of customer service strategy, look for ways to add value beyond clients‘ immediate requests, ability to anticipate clients‘ upcoming needs and concerns, ability to research and turn information into useful knowledge, relevant for context, or responsive to a stated need, plans and monitors own work, pays attention to details, delivers quality work by deadlines, open to creative ideas/known risks, is pragmatic problem solver, makes improvements Fluency in English, proficiency in another official UN language (especially Russian) is desirable ",Istanbul,Türkiye,Asia,2,communications analyst ,"['communications', 'analyst']",communication analyst,master s degree in journalism  communication  international relations  or any other relevant area two years of relevant experience  proficiency in the use of content management systems  html coding  photo video editing tools and other web publishing and designing tools  good knowledge of internet communications  marketing  and outreach activities  experience in volunteer programmes and or in a development context involving volunteers is highly desirable  ability to respond timely and appropriately with a sense of urgency  provide consistent solutions  and deliver timely and quality results and or solutions to fulfil and understand the real customers  needs  provide inputs to the development of customer service strategy  look for ways to add value beyond clients  immediate requests  ability to anticipate clients  upcoming needs and concerns  ability to research and turn information into useful knowledge  relevant for context  or responsive to a stated need  plans and monitors own work  pays attention to details  delivers quality work by deadlines  open to creative ideas known risks  is pragmatic problem solver  makes improvements fluency in english  proficiency in another official un language  especially russian  is desirable ,"['master', 's', 'degree', 'in', 'journalism', 'communication', 'international', 'relations', 'or', 'any', 'other', 'relevant', 'area', 'two', 'years', 'of', 'relevant', 'experience', 'proficiency', 'in', 'the', 'use', 'of', 'content', 'management', 'systems', 'html', 'coding', 'photo', 'video', 'editing', 'tools', 'and', 'other', 'web', 'publishing', 'and', 'designing', 'tools', 'good', 'knowledge', 'of', 'internet', 'communications', 'marketing', 'and', 'outreach', 'activities', 'experience', 'in', 'volunteer', 'programmes', 'and', 'or', 'in', 'a', 'development', 'context', 'involving', 'volunteers', 'is', 'highly', 'desirable', 'ability', 'to', 'respond', 'timely', 'and', 'appropriately', 'with', 'a', 'sense', 'of', 'urgency', 'provide', 'consistent', 'solutions', 'and', 'deliver', 'timely', 'and', 'quality', 'results', 'and', 'or', 'solutions', 'to', 'fulfil', 'and', 'understand', 'the', 'real', 'customers', 'needs', 'provide', 'inputs', 'to', 'the', 'development', 'of', 'customer', 'service', 'strategy', 'look', 'for', 'ways', 'to', 'add', 'value', 'beyond', 'clients', 'immediate', 'requests', 'ability', 'to', 'anticipate', 'clients', 'upcoming', 'needs', 'and', 'concerns', 'ability', 'to', 'research', 'and', 'turn', 'information', 'into', 'useful', 'knowledge', 'relevant', 'for', 'context', 'or', 'responsive', 'to', 'a', 'stated', 'need', 'plans', 'and', 'monitors', 'own', 'work', 'pays', 'attention', 'to', 'details', 'delivers', 'quality', 'work', 'by', 'deadlines', 'open', 'to', 'creative', 'ideas', 'known', 'risks', 'is', 'pragmatic', 'problem', 'solver', 'makes', 'improvements', 'fluency', 'in', 'english', 'proficiency', 'in', 'another', 'official', 'un', 'language', 'especially', 'russian', 'is', 'desirable']",master degree journalism communication international relation area two year proficiency use content management system html coding photo video editing tool web publishing designing tool good internet communication marketing outreach activity volunteer programme development context involving volunteer highly desirable respond timely appropriately sense urgency provide consistent solution deliver timely quality result solution fulfil understand real customer need provide input development customer service strategy look way add value beyond client immediate request anticipate client upcoming need concern research turn information useful context responsive stated need plan monitor pay attention detail delivers quality deadline open creative idea known risk pragmatic problem solver make improvement fluency english proficiency another official un language especially russian desirable
Organization for Security and Co-operation in Europe,Int. Consultant - Roster Call Counter Terrorism Financing ,09.03.2023,03.07.2023,"A minimum of 5-10 years of documented professional experience required in relation to countering terrorism financing and/or related thematic expertise, based on the level of the assignment, ability to establish and maintain effective and constructive working relationships with people of different national and cultural backgrounds while maintaining impartiality and objectivity, flexibility and ability to work under time pressure to meet tight deadlines Professional fluency in English with excellent writing skills, knowledge of Russian, other OSCE languages spoken in the OSCE area is an asset ",Vienna,Austria,Europe,3,int  consultant   roster call counter terrorism financing ,"['int', 'consultant', 'roster', 'call', 'counter', 'terrorism', 'financing']",int consultant roster call counter terrorism financing,a minimum of      years of documented professional experience required in relation to countering terrorism financing and or related thematic expertise  based on the level of the assignment  ability to establish and maintain effective and constructive working relationships with people of different national and cultural backgrounds while maintaining impartiality and objectivity  flexibility and ability to work under time pressure to meet tight deadlines professional fluency in english with excellent writing skills  knowledge of russian  other osce languages spoken in the osce area is an asset ,"['a', 'minimum', 'of', 'years', 'of', 'documented', 'professional', 'experience', 'required', 'in', 'relation', 'to', 'countering', 'terrorism', 'financing', 'and', 'or', 'related', 'thematic', 'expertise', 'based', 'on', 'the', 'level', 'of', 'the', 'assignment', 'ability', 'to', 'establish', 'and', 'maintain', 'effective', 'and', 'constructive', 'working', 'relationships', 'with', 'people', 'of', 'different', 'national', 'and', 'cultural', 'backgrounds', 'while', 'maintaining', 'impartiality', 'and', 'objectivity', 'flexibility', 'and', 'ability', 'to', 'work', 'under', 'time', 'pressure', 'to', 'meet', 'tight', 'deadlines', 'professional', 'fluency', 'in', 'english', 'with', 'excellent', 'writing', 'skills', 'knowledge', 'of', 'russian', 'other', 'osce', 'languages', 'spoken', 'in', 'the', 'osce', 'area', 'is', 'an', 'asset']",minimum year documented professional relation countering terrorism financing thematic expertise based level assignment establish maintain effective constructive working relationship people different national cultural background maintaining impartiality objectivity flexibility time pressure meet tight deadline professional fluency english excellent writing skill russian osce language spoken osce area asset
United Nations Development Programme,Finance Assistant ,13.03.2023,03.03.2023,"Excellent attention to detail, strong organizational skills, strong communication and coordination skills, excellent interpersonal skills, culturally and socially sensitive, ability to work inclusively and collaboratively with a range of partners, ability to work and adapt professionally and effectively in a challenging environment, ability to work effectively in a multicultural team of international and national personnel, solid overall computer literacy, including proficiency in various MS Office applications (Excel, Word, etc.) and email/internet Fluency in English is required ",Kabul,Afghanistan,Asia,1,finance assistant ,"['finance', 'assistant']",finance assistant,excellent attention to detail  strong organizational skills  strong communication and coordination skills  excellent interpersonal skills  culturally and socially sensitive  ability to work inclusively and collaboratively with a range of partners  ability to work and adapt professionally and effectively in a challenging environment  ability to work effectively in a multicultural team of international and national personnel  solid overall computer literacy  including proficiency in various ms office applications  excel  word  etc   and email internet fluency in english is required ,"['excellent', 'attention', 'to', 'detail', 'strong', 'organizational', 'skills', 'strong', 'communication', 'and', 'coordination', 'skills', 'excellent', 'interpersonal', 'skills', 'culturally', 'and', 'socially', 'sensitive', 'ability', 'to', 'work', 'inclusively', 'and', 'collaboratively', 'with', 'a', 'range', 'of', 'partners', 'ability', 'to', 'work', 'and', 'adapt', 'professionally', 'and', 'effectively', 'in', 'a', 'challenging', 'environment', 'ability', 'to', 'work', 'effectively', 'in', 'a', 'multicultural', 'team', 'of', 'international', 'and', 'national', 'personnel', 'solid', 'overall', 'computer', 'literacy', 'including', 'proficiency', 'in', 'various', 'ms', 'office', 'applications', 'excel', 'word', 'etc', 'and', 'email', 'internet', 'fluency', 'in', 'english', 'is', 'required']",excellent attention detail strong organizational skill strong communication coordination skill excellent interpersonal skill culturally socially sensitive inclusively collaboratively range partner adapt professionally effectively challenging environment effectively multicultural team international national personnel solid overall computer literacy including proficiency various m office application excel word etc email internet fluency english
United Nations World Food Programme,Storekeeper (Air Operations) ,18.01.2023,14.01.2023,"Completion of secondary school education, an advanced diploma in logistics, supply chain management, business administration, economics, and social science or a related functional area is required, a degree in the related functional area is an added advantage At least four years of relevant professional work experience in Supply Chain, excellent interpersonal and problem-solving skills, efficiency and Time-Management, good communication skill, support regular physical stock inventory exercises, to ensure compliance with IPSAS and standard business requirements, provide supervision, guidance, and on-the-job training to warehouse staff, supporting their development and high performance Fluency in both oral and written communication in English and Somali is required ",Mogadishu,Somalia,Africa,1,storekeeper  air operations  ,"['storekeeper', 'air', 'operations']",storekeeper air operation,completion of secondary school education  an advanced diploma in logistics  supply chain management  business administration  economics  and social science or a related functional area is required  a degree in the related functional area is an added advantage at least four years of relevant professional work experience in supply chain  excellent interpersonal and problem solving skills  efficiency and time management  good communication skill  support regular physical stock inventory exercises  to ensure compliance with ipsas and standard business requirements  provide supervision  guidance  and on the job training to warehouse staff  supporting their development and high performance fluency in both oral and written communication in english and somali is required ,"['completion', 'of', 'secondary', 'school', 'education', 'an', 'advanced', 'diploma', 'in', 'logistics', 'supply', 'chain', 'management', 'business', 'administration', 'economics', 'and', 'social', 'science', 'or', 'a', 'related', 'functional', 'area', 'is', 'required', 'a', 'degree', 'in', 'the', 'related', 'functional', 'area', 'is', 'an', 'added', 'advantage', 'at', 'least', 'four', 'years', 'of', 'relevant', 'professional', 'work', 'experience', 'in', 'supply', 'chain', 'excellent', 'interpersonal', 'and', 'problem', 'solving', 'skills', 'efficiency', 'and', 'time', 'management', 'good', 'communication', 'skill', 'support', 'regular', 'physical', 'stock', 'inventory', 'exercises', 'to', 'ensure', 'compliance', 'with', 'ipsas', 'and', 'standard', 'business', 'requirements', 'provide', 'supervision', 'guidance', 'and', 'on', 'the', 'job', 'training', 'to', 'warehouse', 'staff', 'supporting', 'their', 'development', 'and', 'high', 'performance', 'fluency', 'in', 'both', 'oral', 'and', 'written', 'communication', 'in', 'english', 'and', 'somali', 'is', 'required']",completion secondary school education advanced diploma logistics supply chain management business administration economics social science functional area degree functional area added advantage least four year professional supply chain excellent interpersonal problem solving skill efficiency time management good communication support regular physical stock inventory exercise ensure compliance ipsas standard business requirement provide supervision guidance training warehouse staff supporting development high performance fluency oral written communication english somali
World Health Organization,Roster of Consultants Learning Designer ,03.03.2023,15.02.2023,"Advanced university degree in one of the following fields: Educational Sciences (Adult Learning, Learning Technologies, Curricula Management, Instructional Design) or any other related fields, Behavioural Science, Educational Psychology, PhD in Educational Sciences or related fields At least five years of relevant experience in any learning science related field (curricula building, instructional design, learning technologies, etc), experience in health sector, previous experience in working with multiple stakeholders in a diverse environment (multiple cultures, time zones, countries/regions, languages, etc), experience in Learning Production with overall understanding of major e-learning authoring tools (Adapt Learning, Storyline, Lectora, Captivate, etc.) Expert knowledge of English is required ",Copenhagen,Denmark,Europe,0,roster of consultants learning designer ,"['roster', 'of', 'consultants', 'learning', 'designer']",roster consultant learning designer,advanced university degree in one of the following fields  educational sciences  adult learning  learning technologies  curricula management  instructional design  or any other related fields  behavioural science  educational psychology  phd in educational sciences or related fields at least five years of relevant experience in any learning science related field  curricula building  instructional design  learning technologies  etc   experience in health sector  previous experience in working with multiple stakeholders in a diverse environment  multiple cultures  time zones  countries regions  languages  etc   experience in learning production with overall understanding of major e learning authoring tools  adapt learning  storyline  lectora  captivate  etc   expert knowledge of english is required ,"['advanced', 'university', 'degree', 'in', 'one', 'of', 'the', 'following', 'fields', 'educational', 'sciences', 'adult', 'learning', 'learning', 'technologies', 'curricula', 'management', 'instructional', 'design', 'or', 'any', 'other', 'related', 'fields', 'behavioural', 'science', 'educational', 'psychology', 'phd', 'in', 'educational', 'sciences', 'or', 'related', 'fields', 'at', 'least', 'five', 'years', 'of', 'relevant', 'experience', 'in', 'any', 'learning', 'science', 'related', 'field', 'curricula', 'building', 'instructional', 'design', 'learning', 'technologies', 'etc', 'experience', 'in', 'health', 'sector', 'previous', 'experience', 'in', 'working', 'with', 'multiple', 'stakeholders', 'in', 'a', 'diverse', 'environment', 'multiple', 'cultures', 'time', 'zones', 'countries', 'regions', 'languages', 'etc', 'experience', 'in', 'learning', 'production', 'with', 'overall', 'understanding', 'of', 'major', 'e', 'learning', 'authoring', 'tools', 'adapt', 'learning', 'storyline', 'lectora', 'captivate', 'etc', 'expert', 'knowledge', 'of', 'english', 'is', 'required']",advanced university degree one following field educational science adult learning learning technology curriculum management instructional design field behavioural science educational psychology phd educational science field least five year learning science field curriculum building instructional design learning technology etc health sector previous working multiple stakeholder diverse environment multiple culture time zone country region language etc learning production overall understanding major e learning authoring tool adapt learning storyline lectora captivate etc expert english
Organization for Security and Co-operation in Europe,National Programme Officer ,09.03.2023,23.02.2023,"Citizenship of or permanent residence in the Republic of North Macedonia, First-level university education in fields related to security and human rights At least two years of professional experience in project management, preferably in international organisations, experience in activities in the areas of confidence building, early warning, dialogue facilitation and mediation, P/CVERLT and inter-faith dialogue, Computer literate with practical experience with Microsoft applications, excellent written and spoken communication skills in English and local languages (proficiency in multiple local languages will be considered an advantage), ability to work with people of different nationalities, religions and cultural backgrounds, demonstrated gender awareness and sensitivity, and ability to integrate gender perspective into tasks and activities, valid driving license, Reporting on policy development, drafting internal briefing and background materials and other relevant documents Fluency in English is required ",Skopje,North Macedonia,Europe,1,national programme officer ,"['national', 'programme', 'officer']",national programme officer,citizenship of or permanent residence in the republic of north macedonia  first level university education in fields related to security and human rights at least two years of professional experience in project management  preferably in international organisations  experience in activities in the areas of confidence building  early warning  dialogue facilitation and mediation  p cverlt and inter faith dialogue  computer literate with practical experience with microsoft applications  excellent written and spoken communication skills in english and local languages  proficiency in multiple local languages will be considered an advantage   ability to work with people of different nationalities  religions and cultural backgrounds  demonstrated gender awareness and sensitivity  and ability to integrate gender perspective into tasks and activities  valid driving license  reporting on policy development  drafting internal briefing and background materials and other relevant documents fluency in english is required ,"['citizenship', 'of', 'or', 'permanent', 'residence', 'in', 'the', 'republic', 'of', 'north', 'macedonia', 'first', 'level', 'university', 'education', 'in', 'fields', 'related', 'to', 'security', 'and', 'human', 'rights', 'at', 'least', 'two', 'years', 'of', 'professional', 'experience', 'in', 'project', 'management', 'preferably', 'in', 'international', 'organisations', 'experience', 'in', 'activities', 'in', 'the', 'areas', 'of', 'confidence', 'building', 'early', 'warning', 'dialogue', 'facilitation', 'and', 'mediation', 'p', 'cverlt', 'and', 'inter', 'faith', 'dialogue', 'computer', 'literate', 'with', 'practical', 'experience', 'with', 'microsoft', 'applications', 'excellent', 'written', 'and', 'spoken', 'communication', 'skills', 'in', 'english', 'and', 'local', 'languages', 'proficiency', 'in', 'multiple', 'local', 'languages', 'will', 'be', 'considered', 'an', 'advantage', 'ability', 'to', 'work', 'with', 'people', 'of', 'different', 'nationalities', 'religions', 'and', 'cultural', 'backgrounds', 'demonstrated', 'gender', 'awareness', 'and', 'sensitivity', 'and', 'ability', 'to', 'integrate', 'gender', 'perspective', 'into', 'tasks', 'and', 'activities', 'valid', 'driving', 'license', 'reporting', 'on', 'policy', 'development', 'drafting', 'internal', 'briefing', 'and', 'background', 'materials', 'and', 'other', 'relevant', 'documents', 'fluency', 'in', 'english', 'is', 'required']",citizenship permanent residence republic north macedonia first level university education field security human right least two year professional project management preferably international organisation activity area confidence building early warning dialogue facilitation mediation p cverlt inter faith dialogue computer literate practical microsoft application excellent written spoken communication skill english local language proficiency multiple local language considered advantage people different nationality religion cultural background demonstrated gender awareness sensitivity integrate gender perspective task activity valid driving license reporting policy development drafting internal briefing background material document fluency english
International Atomic Energy Agency,Section Head (Nuclear Fuel Cycle Information Analysis) ,17.06.2023,15.06.2023,"Minimum of 10 years of experience, including at international level, in information management and analysis related to nuclear fuel cycle data and non-proliferation issues, with at least seven years of demonstrable experience in information collection, processing, analysis and the use of complex tools and techniques, significant experience in developing, leading and motivating teams dedicated to information analysis, determining clear goals, roles and responsibilities, providing feedback on performance, and encouraging staff development, demonstrated ability to exercise unbiased, tactful and prudent judgement on sensitive issues, based on in-depth factual analysis Excellent oral and written command of English, knowledge of other official IAEA languages (Arabic, Chinese, French, Russian and Spanish) is an asset ",Seibersdorf,Austria,Europe,1,section head  nuclear fuel cycle information analysis  ,"['section', 'head', 'nuclear', 'fuel', 'cycle', 'information', 'analysis']",section head nuclear fuel cycle information analysis,minimum of    years of experience  including at international level  in information management and analysis related to nuclear fuel cycle data and non proliferation issues  with at least seven years of demonstrable experience in information collection  processing  analysis and the use of complex tools and techniques  significant experience in developing  leading and motivating teams dedicated to information analysis  determining clear goals  roles and responsibilities  providing feedback on performance  and encouraging staff development  demonstrated ability to exercise unbiased  tactful and prudent judgement on sensitive issues  based on in depth factual analysis excellent oral and written command of english  knowledge of other official iaea languages  arabic  chinese  french  russian and spanish  is an asset ,"['minimum', 'of', 'years', 'of', 'experience', 'including', 'at', 'international', 'level', 'in', 'information', 'management', 'and', 'analysis', 'related', 'to', 'nuclear', 'fuel', 'cycle', 'data', 'and', 'non', 'proliferation', 'issues', 'with', 'at', 'least', 'seven', 'years', 'of', 'demonstrable', 'experience', 'in', 'information', 'collection', 'processing', 'analysis', 'and', 'the', 'use', 'of', 'complex', 'tools', 'and', 'techniques', 'significant', 'experience', 'in', 'developing', 'leading', 'and', 'motivating', 'teams', 'dedicated', 'to', 'information', 'analysis', 'determining', 'clear', 'goals', 'roles', 'and', 'responsibilities', 'providing', 'feedback', 'on', 'performance', 'and', 'encouraging', 'staff', 'development', 'demonstrated', 'ability', 'to', 'exercise', 'unbiased', 'tactful', 'and', 'prudent', 'judgement', 'on', 'sensitive', 'issues', 'based', 'on', 'in', 'depth', 'factual', 'analysis', 'excellent', 'oral', 'and', 'written', 'command', 'of', 'english', 'knowledge', 'of', 'other', 'official', 'iaea', 'languages', 'arabic', 'chinese', 'french', 'russian', 'and', 'spanish', 'is', 'an', 'asset']",minimum year including international level information management analysis nuclear fuel cycle data non proliferation issue least seven year demonstrable information collection processing analysis use complex tool technique significant developing leading motivating team dedicated information analysis determining clear goal role providing feedback performance encouraging staff development demonstrated exercise unbiased tactful prudent judgement sensitive issue based depth factual analysis excellent oral written command english official iaea language arabic chinese french russian spanish asset
Organization for Security and Co-operation in Europe,"Consultants, Cybersecurity (SSA roster call) ",03.04.2023,31.03.2023,"University degree in the field of Information Technologies (IT) or related technical disciplines in information/cybersecurity Minimum five years of professional experience in the field of information/cybersecurity, experience of conducting training courses for public officials, particularly in information/cybersecurity, demonstrated ability to moderate and facilitate working group meetings, trainings, roundtable discussions and other similar events, knowledge of national legislation on cybersecurity and international standards for ensuring information/cybersecurity, excellent writing and presentation skills, Computer literate with practical experience using Microsoft applications Professional fluency in Russian and Kyrgyz languages, both oral and written ",Bishkek,Kyrgyzstan,Asia,1,consultants  cybersecurity  ssa roster call  ,"['consultants', 'cybersecurity', 'ssa', 'roster', 'call']",consultant cybersecurity ssa roster call,university degree in the field of information technologies  it  or related technical disciplines in information cybersecurity minimum five years of professional experience in the field of information cybersecurity  experience of conducting training courses for public officials  particularly in information cybersecurity  demonstrated ability to moderate and facilitate working group meetings  trainings  roundtable discussions and other similar events  knowledge of national legislation on cybersecurity and international standards for ensuring information cybersecurity  excellent writing and presentation skills  computer literate with practical experience using microsoft applications professional fluency in russian and kyrgyz languages  both oral and written ,"['university', 'degree', 'in', 'the', 'field', 'of', 'information', 'technologies', 'it', 'or', 'related', 'technical', 'disciplines', 'in', 'information', 'cybersecurity', 'minimum', 'five', 'years', 'of', 'professional', 'experience', 'in', 'the', 'field', 'of', 'information', 'cybersecurity', 'experience', 'of', 'conducting', 'training', 'courses', 'for', 'public', 'officials', 'particularly', 'in', 'information', 'cybersecurity', 'demonstrated', 'ability', 'to', 'moderate', 'and', 'facilitate', 'working', 'group', 'meetings', 'trainings', 'roundtable', 'discussions', 'and', 'other', 'similar', 'events', 'knowledge', 'of', 'national', 'legislation', 'on', 'cybersecurity', 'and', 'international', 'standards', 'for', 'ensuring', 'information', 'cybersecurity', 'excellent', 'writing', 'and', 'presentation', 'skills', 'computer', 'literate', 'with', 'practical', 'experience', 'using', 'microsoft', 'applications', 'professional', 'fluency', 'in', 'russian', 'and', 'kyrgyz', 'languages', 'both', 'oral', 'and', 'written']",university degree field information technology technical discipline information cybersecurity minimum five year professional field information cybersecurity conducting training course public official particularly information cybersecurity demonstrated moderate facilitate working group meeting training roundtable discussion similar event national legislation cybersecurity international standard ensuring information cybersecurity excellent writing presentation skill computer literate practical using microsoft application professional fluency russian kyrgyz language oral written
